date,date_w,USSKORW,A001,KOEMPTOTO,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCNFCONR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOEQUIPTE,KONEWCONA,KOPSMANUG,KOMSCONGG,KOIPMIMAG,KOMPCAPGG,KOMPCONGG,KOSIAI..E,KOSIAWRTE,KOSIATRNE,KOSIAHOTE,KOROCOINF,KOPIMANUG,KOPICONGG,KOBSIBAPR,KOBSISAPR,KOBSIBMPR,KOBSESI.R,KOBSIBMAR,KOBSIBNMR,KOEXPGDSA,KOIMPGDSA,KOEXCHINA,KOEXPSCOH,KOEXPMOVH,KOIMPCONA,KOEXPPRCF,KOIMPPRCF,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOPROPRCF,KONETTRDF
1985-01-31,01/04/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/18/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/25/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,02/01/1985,,,958.3198263,,,,,,,,,,,,1239.63169,232.238772,339.785848,232.238772,224.0709689,344.6807893,,,,,269.4627181,243.3613355,296.0105096,,,,,,,740.4190861,778.3589366,,,,,459.5725727,385.8622229,336.9018483,343.0756184,,392.0189568,
1985-02-28,02/08/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,02/15/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,02/22/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,03/01/1985,,,960.1855294,,,,,,,,,,,,1304.219616,236.0854001,343.7207819,236.0854001,229.2534757,350.85559,,,,,270.1361213,245.1005098,299.5732274,,,,,,,749.8016103,763.202024,,,,,459.2388852,385.8622229,337.6221396,343.6564525,,391.9197209,
1985-03-31,03/08/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/15/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/22/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/29/1985,,,960.8904389,,,,,,,,,,,,1306.518755,235.1375257,342.751469,234.1805806,224.0709689,346.5735903,,,,,270.1361213,245.9588842,299.0719732,,,,,,,776.0916204,772.5100873,,,,,459.2388852,386.030857,337.7246161,343.6886224,,391.5217896,
1985-04-30,04/26/1985,,,960.8517655,,,,,,,,,,,,1331.483821,238.8762789,344.0418095,237.9546134,234.1805806,349.3472658,,,,,271.4694744,246.8099531,299.0719732,,,,,,,776.8971683,782.3671941,,,,,459.9655005,386.7443962,337.8269877,343.9135221,,392.0189568,
1985-04-30,04/19/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
