Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,Model Production,Model Investment,Model Consumption,구분,데이터이름
1,USSKORW,USD/KRW,w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,1,1,금융,
1,A001,News Sentiment,w,1,0,0,0,0,0,1,chg,index,Survey,7,,1,1,1,기업경기,
1,KOEMPTOTO,"Employment, Total, SA",m,1,0,0,0,0,1,0,chg,Thousands of Persons,Labor,11,,1,0,1,고용/노동,"취업자 수(전체, 계절조정)"
1,KOWRCCNSE,"Retail Sales, Total, SA",m,1,1,0,0,0,0,0,chg,Index,Consumption,28,,1,0,1,소비/지출,소매판매액지수(계절조정)
1,KOWRCDURE,"Wholesale and Retail Trade, Total, Durable Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Consumption,28,,0,0,1,소비/지출,"도·소매업 판매지수(내구재, 계절조정)"
1,KOWRCSEME,"Wholesale and Retail, Semi-Durable Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Consumption,28,,0,0,1,소비/지출,"도·소매업 판매지수(반내구재, 계절조정)"
1,KOWRCNODE,"Wholesale and Retail, Non-Durable Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Consumption,28,,0,0,1,소비/지출,"도·소매업 판매지수(비내구재, 계절조정)"
1,KOCREU..A,"Consumer Credit : Credit Card, KRW",m,1,1,0,0,1,0,0,chg,Index,Consumption,85,Nom,0,0,1,소비/지출,신용카드 연체·대출(원)
1,KOCSMTTOA,"Cyber Shopping Mall, Transaction Total",m,1,1,0,0,1,0,0,chg,Index,Consumption,32,Nom,0,0,1,소비/지출,사이버쇼핑 거래액
1,KOCNFCONR,"CSI, Composite Consumer Sentiment Index, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,1,1,1,소비자동향,소비자심리지수(종합)
1,KOCSPHIMR,"CSI, Expected Change in Total Household Income, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,향후 가계소득 전망
1,KOCSPSPMR,"CSI, Spending Plan, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,소비지출 계획
1,KOCSECDMR,"CSI, Domestic Economic Situation, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,현재 경기판단
1,KOEQUIPTE,"Investment, Equipment, Estimation, SA",m,1,0,1,0,0,0,0,chg,Index,Investment,30,,1,1,0,설비투자,설비투자지수(계절조정)
1,KONEWCONA,"New Orders, Construction, Total, Value, KRW",m,1,0,1,0,1,0,0,chg,Index,Investment,30,Nom,0,1,0,건설,"건설 수주액(총액, 원)"
1,KOPSMANUG,"Shipments, Manufacturing, SA, Index",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,제조업 출하지수(계절조정)
1,KOMSCONGG,"Manufacturing Shipment - Consumer Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"제조업 출하(소비재, 계절조정)"
1,KOIPMIMAG,"Production, Mining and Manufacturing, SA",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,1,0,산업생산,광공업생산지수(계절조정)
1,KOMPCAPGG,"Production, Capital Goods, SA",m,1,0,1,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,"생산(자본재, 계절조정)"
1,KOMPCONGG,"Production, Consumer Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"생산(소비재, 계절조정)"
