date,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH,A001,GSCITOT,KOBDY10,KOCBNG3,KORCOMP,USSKORW,KOBSIBAPR,KOEXPMOVH,KOEXPSCOH,KOIPCHXPG,KOIPCOMPG,KOIPVECHG,KOIPXBSBG,USEPUPO,pmiall,pmiout,KORSERV,KOSIATRNE,KOBSISAPR,KOBSIYAPR,KOBSIFAPR,KOBSIBMPR,KOBSIBNPR,KOBSIRMER,KOBSIBMAR,KOBFPRAAF,pmioir,KODBLNSPA
1985-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.2,493.3,518.4,541.2,449.7,538.4,,662.7,,,493.8,,,,,,,,,118.45,,,,,,,,,,,,,,
1985-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.7,496.8,518.3,539.0,450.8,543.7,,664.8,,,494.2,,,,,,,,,207.56,,,,,,,,,,,,,,
1985-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.4,495.8,517.3,537.5,448.9,544.6,,665.7,,,492.9,,,,,,,,,208.3,,,,,,,,,,,,,,
1985-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.0,494.5,517.7,537.3,451.2,543.2,,664.5,,,493.3,,,,,,,,,154.89,,,,,,,,,,,,,,
1985-02-01,,958.3,,,399.6,,,,,,,,336.9,343.1,,339.8,296.0,,,,263.9,386.9,344.7,,,,100.0,,,,,,,,,,,763.2,,,, ,740.4,,778.4,459.6,385.9,,392.0,326.0,,1239.6,,232.2,243.4,,271.5,269.5,,,,,100.1,99.0,96.0,100.7, ,,,,815.1,,,,,703.7,,212.8,225.1,,,232.2,,224.1,,,,,844.9,,,, ,,,528.2,497.5,517.3,536.7,451.0,544.1,,666.7,,,493.3,,,,,227.2,-91.6,136.1,246.8,50.66,,,,,,,,,,,,,,1006.2
1985-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.8,493.3,516.1,535.3,447.8,540.0,,666.3,,,491.8,,,,,,,,,96.24,,,,,,,,,,,,,,
1985-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.5,490.0,515.8,536.0,444.9,538.3,,666.3,,,490.7,,,,,,,,,148.61,,,,,,,,,,,,,,
1985-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,485.4,514.7,536.3,440.8,535.9,,664.3,,,489.3,,,,,,,,,47.45,,,,,,,,,,,,,,
1985-03-01,,960.2,,,398.2,,,,,,,,337.6,343.7,,343.7,299.6,,,,274.7,393.0,350.9,,,,100.0,,,,,,,,,,,763.9,,,, ,749.8,,763.2,459.2,385.9,,391.9,326.2,,1304.2,,236.1,245.1,,272.1,270.1,,,,,93.9,99.0,100.0,107.7, ,,,,811.9,,,,,754.9,,214.0,227.2,,,236.1,,229.3,,,,,845.1,,,, ,,,529.3,487.0,516.3,538.5,441.8,537.3,,665.2,,,490.5,,,,,229.3,-91.6,148.2,265.3,46.53,,,,,,,,,,,,,,1007.5
1985-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.3,485.5,515.1,536.3,442.0,538.6,,666.0,,,489.3,,,,,,,,,142.42,,,,,,,,,,,,,,
