Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,"Model Production","Model Investment","Model Consumption",구분,데이터이름
1,KORCOMP,KOSPI,w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,1,1,금융,
1,KOBDY10,KTB 10Y,w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,1,1,금융,
1,KOCBNG3,"Corporate 3YR, AA-",w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,1,1,금융,
1,USSKORW,USD/KRW,w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,1,1,금융,
1,GSCITOT,GSCI Commodity Price,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,1,0,금융,
0,USEPUPO,US Economic Policy Uncertainty Index,w,1,0,0,0,0,0,0,chg,index,Survey,5,,1,1,1,,
1,KORCNST,KOSPI Construction,w,1,0,0,0,0,0,1,chg,index,Finance,1,KOSPI Sector,0,1,0,금융,코스피 건설업
1,KORMACH,KOSPI Machinery,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,1,0,금융,코스피 기계업
1,KORMCMP,KOSPI Manufacturing Industry,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,0,0,금융,코스피 제조업
1,KORELEC,KOSPI Electrical and Electronics Equity,w,1,0,0,0,0,0,1,chg,index,Finance,1,,1,0,0,금융,코스피 전기·전자업
1,KORSERV,KOSPI Services,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,0,0,금융,코스피 서비스업
1,KORFBEV,KOSPI Food and Beverages,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,0,1,금융,코스피 음식료품업
1,KORWHLS,KOSPI Distribution,w,1,0,0,0,0,0,1,chg,index,Finance,1,,0,0,1,금융,코스피 유통업
1,KOUN%TOTQ,"Unemployed, Rate, Total, SA",m,1,0,0,0,0,1,0,chg,Percent,Labor,11,,1,0,1,고용/노동,"실업률(전체, 계절조정)"
1,KOEMPTOTO,"Employment, Total, SA",m,1,0,0,0,0,1,0,chg,Thousands of Persons,Labor,11,,1,0,1,고용/노동,"취업자 수(전체, 계절조정)"
1,KOEMPMANF,"Employment, Mining and Manufacturing",m,1,0,0,0,0,1,0,chg,Thousands of Persons,Labor,11,NSA,0,1,0,고용/노동,취업자 수(광공업)
1,KOEMPCONF,"Employment, Construction",m,1,0,1,0,0,1,0,chg,Thousands of Persons,Labor,11,NSA,0,1,0,고용/노동,취업자 수(건설업)
1,KOEMPWREP,"Employment, Wholesale and Retail Trade",m,1,1,0,0,0,1,0,chg,Thousands of Persons,Labor,11,NSA,0,0,1,고용/노동,취업자 수(도·소매업)
1,KOPOPACTE,"Economic Active Population, Total, SA",m,1,0,0,0,0,1,0,chg,Thousands of Persons,Labor,11,,1,0,1,고용/노동,"경제활동인구(전체, 계절조정)"
1,KOHWRWEMP,"Hours Worked, Average Per Week, All Employees",m,1,0,0,0,0,1,0,chg,hours,Labor,11,,1,0,1,고용/노동,근로자 주당 평균 노동시간
1,KOEXPGDSA,"Exports, Free on Board, USD",m,1,0,0,1,1,0,0,chg,"$, Millions",Int. trade,1,Nom,1,0,0,수출입,"수출(FOB, 달러)"
1,KOEXCHINA,"Exports, China, USD",m,1,0,0,1,1,0,0,chg,"$, Millions",Int. trade,1,Nom,1,0,0,수출입,대중국 수출(달러)
1,KOEXPSCOH,"Exports, Semi-Conductors, Volume",m,1,0,0,1,0,0,0,chg,Index,Int. trade,28,,1,0,0,수출입,수출 물량(반도체)
1,KOEXPMOVH,"Exports, Motor Vehicles, Volume",m,1,0,0,1,0,0,0,chg,Index,Int. trade,28,,1,0,0,수출입,수출 물량(자동차)
1,KOIMPGDSA,"Imports Cost Insurance Freight (Customs Basis, $)",m,1,0,0,0,1,0,0,chg,"$, Millions",Int. trade,1,Nom,1,0,0,수출입,"수입(CIF, 관세기준, 달러)"
1,KOIMPCONA,"Imports, Consumer Goods, $",m,1,1,0,0,1,0,0,chg,"$, Millions",Int. trade,14,Nom,0,0,1,수출입,"수입(소비재, 달러)"
1,KOIMPGDDA,"Imports, Capital Goods, $",m,1,0,1,0,1,0,0,chg,"$, Millions",Int. trade,14,Nom,0,1,0,수출입,"수입(자본재, 달러)"
1,KOEXPPRCF,"Export Prices, All Items",m,1,0,0,0,1,0,0,chg,Index,Int. trade,14,,0,0,0,수출입,수출물가지수(전체)
1,KOIMPPRCF,"Import Prices, All Items",m,1,0,0,0,1,0,0,chg,Index,Int. trade,14,,0,0,0,수출입,수입물가지수(전체)
