date,date_w,KORCOMP,KOBDY10,KOCBNG3,USSKORW,A001,KORELEC,KOUN%TOTQ,KOEMPTOTO,KOPOPACTE,KOHWRWEMP,KOEXPGDSA,KOEXCHINA,KOEXPSCOH,KOEXPMOVH,KOIMPGDSA,KONETTRDF,KOWRCCNSE,KOCONPRCF,KOPROPRCF,KOCPEXFEF,KOEQUIPTE,KOPSMANUG,KOPIMANUG,KOSIAI..E,KOIPALL.G,KOIPMIMAG,KOIPCHXPG,KOIPCOMPG,KOIPVECHG,KOIPXBSBG,KOMPRI30G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOBSIBAPR,KOCNFBUSR,KOBSIBCOQ,KOBFDSAAF,KOBSIBCEQ,KOCNFCONR,KOCSECEMR
1985-01-31,01/04/1985,493.82796,,,,,541.2449301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/11/1985,494.20709,,,,,538.989331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/18/1985,492.89913,,,,,537.5463576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,01/25/1985,493.26738,,,,,537.2821689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31,02/01/1985,493.33222,,,,,536.7143557,,958.3198263,,399.6364154,740.4190861,,,,778.3589366,,,336.9018483,392.0189568,,,232.238772,243.3613355,,,232.238772,227.2125886,-91.62907319,136.0976553,246.8099531,,271.4694744,269.4627181,,,,,100.1,99.0,100.7,,
1985-02-28,02/08/1985,491.77156,,,,,535.3231597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,02/15/1985,490.7051,,,,,535.9553566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,02/22/1985,489.31272,,,,,536.3449461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,03/01/1985,490.47561,,,,,538.4586802,,960.1855294,,398.1549068,749.8016103,,,,763.202024,,,337.6221396,391.9197209,,,236.0854001,245.1005098,,,236.0854001,229.2534757,-91.62907319,148.1604541,265.3241965,,272.1295428,270.1361213,,,,,93.9,99.0,107.7,,
1985-03-31,03/08/1985,489.33521,,,,,536.3121477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/15/1985,489.95547,,,,,536.9567688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/22/1985,489.83621,,,,,538.3347616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,03/29/1985,490.58672,,,,,538.2980154,,960.8904389,,400.5513349,776.0916204,,,,772.5100873,,,337.7246161,391.5217896,,,235.1375257,245.9588842,,,234.1805806,229.2534757,-91.62907319,158.9235205,263.188884,,272.7852828,270.1361213,,,,,101.4,109.0,99.9,,
1985-04-30,04/26/1985,490.4163,,,,,535.4319557,,960.8517655,,401.8183201,776.8971683,,,,782.3671941,,,337.8269877,392.0189568,,,238.8762789,246.8099531,,,237.9546134,234.1805806,-91.62907319,160.9437912,280.9402695,,273.4367509,271.4694744,,,,,103.8,104.0,95.9,,
1985-04-30,04/19/1985,490.84549,,,,,536.0352757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-30,04/05/1985,492.94975,,,,,539.7076139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-30,04/12/1985,491.65444,,,,,538.2106892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/03/1985,489.45508,,,,,530.3304908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/10/1985,489.15514,,,,,530.9455111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/17/1985,488.47697,,,,,530.1113454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/24/1985,489.23021,,,,,529.9117047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/31/1985,489.85112,,,,,531.4436748,,961.5707475,,404.3051268,781.0523391,,,,792.2436895,,,338.5406696,391.9197209,,,237.9546134,249.3205453,,,237.0243741,236.0854001,-91.62907319,162.924054,262.4668592,,274.0840024,272.1295428,,,,,98.2,104.0,100.4,,
1985-06-30,06/14/1985,494.26419,,,,,535.6916409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,06/07/1985,489.94057,,,,,530.6136716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,06/21/1985,493.17364,,,,,531.1776386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,06/28/1985,492.14397,,,,,527.3666003,,961.4241591,,405.1784948,789.6954779,,,,779.9953708,,,338.6422096,391.9197209,,,237.0243741,249.3205453,,,237.9546134,223.00144,-91.62907319,170.4748092,292.8523524,,274.7270914,272.7852828,,,,,96.9,99.0,96.9,,
1985-07-31,07/26/1985,491.45648,,,,,526.8012786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-31,07/19/1985,490.95619,,,,,524.9652195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
