date_m,date_w,KORCOMP,KOBDY10,KOCBNG3,USSKORW,GSCITOT,A001,USEPUPO,KORCNST,KORMACH,KORMCMP,KORELEC,KORSERV,KORFBEV,KORWHLS,KOUN%TOTQ,KOEMPTOTO,KOEMPMANF,KOEMPCONF,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOEXPGDSA,KOEXCHINA,KOEXPSCOH,KOEXPMOVH,KOIMPGDSA,KOIMPCONA,KOIMPGDDA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOPROPRCF,KOPPSRM.F,KOCPCOREF,KOCPEXFEF,KOEQUIPTE,KOEQUIMAE,KOEQUITTE,KONEWCONA,KOCONPMTH,KOCONSTRP,KOVALCONA,KOPSMANUG,KOMSCAPGG,KOMSCONGG,KOPIMANUG,KOPICAPGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIATRNE,KOSIAHOTE,KOSIARRLE,KOSSBFMBE,KOIPALL.G,KOIPMIMAG,KOIPCHXPG,KOIPCOMPG,KOIPVECHG,KOIPXBSBG,KOMPRI30G,KOMPCAPGG,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOBSIBAPR,KOBSISAPR,KOBSIHAPR,KOBSIYAPR,KOBSIFAPR,KOBSIBMPR,KOBSIIMPR,KOBSIBNPR,KOCNFBUSR,KOBSIIMER,KOBSIXMER,KOBSIRMER,KOBSIBNER,KOBSIBCOQ,KOBSIBMAR,KOBSIBNMR,KOBFDSAAF,KOBFXSAAF,KOBFINAAF,KOBSIEMAR,KOBFPRAAF,KOBSIBCEQ,KOBUSINVR,pmiall,pmiout,pmioir,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KODBLNEQA,KODBLNSPA,KOLRLTCO,KOLRLTHH,KOGDP...D,KOCNPER.D,KOCNGOV.D,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KOEXNGS.D,KOIMNGS.D
01/31/1985,01/04/1985,493.82796,,,,662.73136,,118.45,449.6805161,538.4128023,518.3523609,541.2449301,,527.2076055,493.317813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1985,01/11/1985,494.20709,,,,664.79737,,207.56,450.7667605,543.6817644,518.2906515,538.989331,,528.6700147,496.807568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1985,01/18/1985,492.89913,,,,665.74846,,208.3,448.863637,544.5702353,517.2754144,537.5463576,,529.3857436,495.8288814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1985,01/25/1985,493.26738,,,,664.54420,,154.89,451.151863,543.1798758,517.6545135,537.2821689,,529.0083562,494.4637932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1985,02/01/1985,493.33222,,,,666.69059,,50.66,450.9649984,544.1334873,517.3264218,536.7143557,,528.1527197,497.4524407,,958.3198263,815.0923907, , ,,401.5250896,740.4190861,,,,778.3589366,,,459.5725727,385.8622229,,,,,, , ,336.9018483,392.0189568,326.0401572,343.0756184,,,,,1322.74274,703.7027615,, ,232.238772,212.8231706,339.785848,243.3613355,225.1291799,296.0105096,,,,,,,,232.238772,227.2125886,-91.62907319,136.0976553,246.8099531,,224.0709689,263.905733,386.9115504,344.6807893,271.4694744,269.4627181,,,,,,,,,,,,,,,,100.1,,,99,96,,100,,100.7,,,,,,,,,,,,,,,763.2158849,844.932112,1006.196031,,, , ,, ,,,,
02/28/1985,02/08/1985,491.77156,,,,666.30305,,96.24,447.7564061,539.9699981,516.0663201,535.3231597,,528.7963954,493.3466231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1985,02/15/1985,490.70510,,,,666.31582,,148.61,444.8633328,538.3026094,515.8020281,535.9553566,,528.4624039,490.0076104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1985,02/22/1985,489.31272,,,,664.29691,,47.45,440.8303358,535.8800802,514.7029252,536.3449461,,527.0483576,485.3591544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1985,03/01/1985,490.47561,,,,665.15719,,46.53,441.8479097,537.2775277,516.3470824,538.4586802,,529.3455567,486.9839484,,960.1855294,813.1843673, , ,,400.5472177,749.8016103,,,,763.202024,,,459.2388852,385.8622229,,,,,, , ,337.6221396,391.9197209,326.1935314,343.6564525,,,,,1318.615201,754.8555979,, ,236.0854001,214.0066163,343.7207819,245.1005098,227.2125886,299.5732274,,,,,,,,236.0854001,229.2534757,-91.62907319,148.1604541,265.3241965,,229.2534757,274.7270914,392.9862924,350.85559,272.1295428,270.1361213,,,,,,,,,,,,,,,,93.9,,,99,100,,100,,107.7,,,,,,,,,,,,,,,763.8920527,845.0561815,1007.471867,,, , ,, ,,,,
03/31/1985,03/08/1985,489.33521,,,,665.96913,,142.42,441.9683626,538.5778642,515.1382258,536.3121477,,528.2899114,485.522827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
