date_w,date_m,KORCOMP,KOBDY10,KOCBNG3,USSKORW,GSCITOT,A001,KORCNST,KORMACH,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KOEQUIMAE,KOEQUITTE,KONEWCONA,KOCONPMTH,KOCONSTRP,KOVALCONA,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOMPCONDG,KOCYLEADR,KOBSESI.R,KOCOBUSIR,KOBSIIMPR,KOBSIIMER,KOBSIBCOQ,KOBFINAAF,KOBUSINVR,KOCNFCONR,KOCSEMEMR,KODBLNEQA,KOLRLTCO
1985-01-04,01/31/1985,493.82796,,,,662.73136,,449.6805161,538.4128023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-11,01/31/1985,494.20709,,,,664.79737,,450.7667605,543.6817644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-18,01/31/1985,492.89913,,,,665.74846,,448.863637,544.5702353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-25,01/31/1985,493.26738,,,,664.5442,,451.151863,543.1798758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-01,01/31/1985,493.33222,,,,666.69059,,450.9649984,544.1334873,815.0923907, ,,392.0189568,326.0401572,,,,1322.74274,703.7027615,, ,212.8231706,225.1291799,,,232.238772,,224.0709689,263.905733,271.4694744,,,,,100.1,,,,,844.932112,
1985-02-08,02/28/1985,491.77156,,,,666.30305,,447.7564061,539.9699981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-15,02/28/1985,490.7051,,,,666.31582,,444.8633328,538.3026094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-22,02/28/1985,489.31272,,,,664.29691,,440.8303358,535.8800802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-01,02/28/1985,490.47561,,,,665.15719,,441.8479097,537.2775277,813.1843673, ,,391.9197209,326.1935314,,,,1318.615201,754.8555979,, ,214.0066163,227.2125886,,,236.0854001,,229.2534757,274.7270914,272.1295428,,,,,93.9,,,,,845.0561815,
1985-03-08,03/31/1985,489.33521,,,,665.96913,,441.9683626,538.5778642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-15,03/31/1985,489.95547,,,,665.72277,,442.8313669,539.771011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-22,03/31/1985,489.83621,,,,668.61605,,440.5743161,540.3622881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-29,03/31/1985,490.58672,,,,668.74203,,442.1247348,545.2410902,812.1571096, ,,391.5217896,326.7284964,,,,1282.290065,800.836557,, ,215.1762203,228.2382386,,,234.1805806,,224.0709689,272.7852828,272.7852828,,,,,101.4,,,,,846.1342158,
1985-04-05,04/30/1985,492.94975,,,,669.0482,,445.5277096,549.2567494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-12,04/30/1985,491.65444,,,,667.08931,,447.8359019,544.2937056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-19,04/30/1985,490.84549,,,,666.81774,,446.5678207,542.46416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-26,04/30/1985,490.4163,,,,665.93067,,446.5448243,541.3652965,814.8687568, ,,392.0189568,327.7899165,,,,1319.55452,840.9830673,, ,216.3323026,232.238772,,,237.9546134,,234.1805806,274.0840024,273.4367509,,,,,103.8,,,,,846.7624724,
1985-05-03,05/31/1985,489.45508,,,,663.28051,,445.6554162,541.5744783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-10,05/31/1985,489.15514,,,,665.0085,,444.593996,542.1375354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-17,05/31/1985,488.47697,,,,664.85829,,442.8790939,543.9513063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-24,05/31/1985,489.23021,,,,666.53142,,443.7224795,551.3872196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,05/31/1985,489.85112,,,,665.4436,,443.2482078,552.1220889,816.272257, ,,391.9197209,329.0265821,,,,1282.317017,842.3541635,, ,212.8231706,233.2143895,,,237.0243741,,223.00144,275.3660712,274.0840024,,,,,98.2,,,,,847.8826513,
1985-06-07,06/30/1985,489.94057,,,,664.76884,,442.4487286,550.8416204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
