datem,datew,KORCOMP,KOBDY10,KOCBNG3,USSKORW,GSCITOT,A001,KORCNST,KORMACH,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KOEQUIMAE,KOEQUITTE,KONEWCONA,KOCONPMTH,KOCONSTRP,KOVALCONA,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOMPCONDG,KOCYLEADR,KOBSESI.R,KOCOBUSIR,KOBSIIMPR,KOBSIIMER,KOBSIBCOQ,KOBFINAAF,KOBUSINVR,KOCNFCONR,KOCSEMEMR,KODBLNEQA,KOLRLTCO,KOGFCF..D,KOGCFCNSD,KOGCFFNVD
4/30/1985,4/5/1985,3.044341317,NaN,NaN,NaN,3.485038896,NaN,3.619573515,11.32905343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/12/1985,2.009093071,NaN,NaN,NaN,1.243357525,NaN,5.436037188,5.119267979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/19/1985,0.949650261,NaN,NaN,NaN,-0.351668459,NaN,4.864979221,2.397510432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/26/1985,0.204842602,NaN,NaN,NaN,-2.748366371,NaN,5.195298825,-1.436392606,2.715074765,NaN,NaN,0.497167177,1.061420124,NaN,NaN,NaN,37.37720293,40.14651028,NaN,NaN,1.15608224,4.000533461,NaN,NaN,3.774032798,NaN,10.10961169,1.298719553,0.651468102,NaN,NaN,NaN,NaN,2.4,NaN,NaN,NaN,NaN,0.628256657,NaN,3.080940212,2.018918167,5.22069013
5/31/1985,5/3/1985,-2.3131554,NaN,NaN,NaN,-5.614597835,NaN,1.829193954,-5.674441462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/10/1985,-3.146954396,NaN,NaN,NaN,-3.06025292,NaN,-2.087809735,-4.637692114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/17/1985,-2.772995394,NaN,NaN,NaN,-2.095232339,NaN,-4.32276745,0.57237352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/24/1985,-1.400686849,NaN,NaN,NaN,0.157214212,NaN,-2.833842985,9.472491366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/31/1985,-0.084571604,NaN,NaN,NaN,0.838004326,NaN,-2.851912407,10.65220147,1.401210743,NaN,NaN,-0.099235892,1.236665564,NaN,NaN,NaN,-37.22519947,1.371096225,NaN,NaN,-3.509131981,0.975617495,NaN,NaN,-0.930239266,NaN,-11.1791406,1.282068843,0.647251451,NaN,NaN,NaN,NaN,-5.6,NaN,NaN,NaN,NaN,1.120178902,NaN,-0.531217612,0.28929609,-2.23195005
6/30/1985,6/7/1985,0.635462352,NaN,NaN,NaN,0.624331143,NaN,-2.675977518,8.985613561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/30/1985,6/14/1985,5.448137547,NaN,NaN,NaN,-0.432100473,NaN,3.267206246,13.34629839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/30/1985,6/21/1985,4.32004818,NaN,NaN,NaN,-2.402495037,NaN,1.504056332,6.715580703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/30/1985,6/28/1985,2.603305358,NaN,NaN,NaN,-3.50133807,NaN,0.023991896,-0.815820601,0.155878013,NaN,NaN,0,-0.186393344,NaN,NaN,NaN,8.107481192,-32.64197044,NaN,NaN,2.353049741,11.88612029,NaN,NaN,0.930239266,NaN,14.9531734,0.634922768,0.643089033,NaN,NaN,NaN,NaN,-1.3,NaN,NaN,NaN,NaN,0.842280157,NaN,3.004280034,1.008930535,5.267394635
7/31/1985,7/5/1985,0.557528636,NaN,NaN,NaN,-2.238608402,NaN,-2.042487029,-3.789484961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/31/1985,7/12/1985,-1.057726334,NaN,NaN,NaN,-2.439921677,NaN,-3.482780808,-4.970638977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/31/1985,7/19/1985,-2.762727771,NaN,NaN,NaN,-3.708620071,NaN,-4.321895685,-7.303057966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/31/1985,7/26/1985,-1.202322055,NaN,NaN,NaN,-2.546388404,NaN,-3.168593011,-3.326891898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/31/1985,8/2/1985,1.397704882,NaN,NaN,NaN,-2.218843104,NaN,-0.950582764,4.916579167,-0.931238693,NaN,NaN,0.099235892,0.298062814,NaN,NaN,NaN,11.69901578,2.108511849,NaN,NaN,1.15608224,-9.962984095,NaN,NaN,0,NaN,-3.774032798,-3.871451218,0.63897981,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,1.383481944,NaN,3.089815368,2.205209118,4.298319359
8/31/1985,8/9/1985,0.531176872,NaN,NaN,NaN,-1.533130262,NaN,-1.222419352,2.103701693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/31/1985,8/16/1985,-0.591532906,NaN,NaN,NaN,0.361280567,NaN,-2.066829025,-1.554893748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/31/1985,8/23/1985,0.338175842,NaN,NaN,NaN,0.813481948,NaN,3.296820422,-0.275795358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/31/1985,8/30/1985,-0.568588951,NaN,NaN,NaN,1.298382102,NaN,6.658620197,-4.003406959,0.792640692,NaN,NaN,0,0,NaN,NaN,NaN,-5.205238173,-8.942588692,NaN,NaN,-4.706751086,12.5163143,NaN,NaN,1.834913867,NaN,-8.004270767,1.954459607,0.634922768,NaN,NaN,NaN,NaN,2.7,NaN,NaN,NaN,NaN,1.528872055,NaN,1.172843249,1.393266677,0.664858715
9/30/1985,9/6/1985,-1.557150938,NaN,NaN,NaN,0.996106526,NaN,3.854510844,-4.924559523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/30/1985,9/13/1985,0.207484404,NaN,NaN,NaN,0.662361658,NaN,6.72884088,-1.70589709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/30/1985,9/20/1985,1.028691714,NaN,NaN,NaN,3.176199479,NaN,4.741503133,-0.353061256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/30/1985,9/27/1985,1.307828922,NaN,NaN,NaN,5.29020311,NaN,3.276868694,0.156594286,0.579337745,NaN,NaN,0.3168947,-0.484804231,NaN,NaN,NaN,-13.8117194,16.48955035,NaN,NaN,1.197619105,-9.699226599,NaN,NaN,0,NaN,1.036278704,5.64413109,1.257878221,NaN,NaN,NaN,NaN,2.1,NaN,NaN,NaN,NaN,2.144615418,NaN,2.209143305,1.951764407,3.2038682
10/31/1985,10/4/1985,3.415937604,NaN,NaN,NaN,6.695858773,NaN,7.952016339,2.138222469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/31/1985,10/11/1985,2.533001829,NaN,NaN,NaN,7.15120397,NaN,7.227450207,0.619032455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/31/1985,10/18/1985,2.478267207,NaN,NaN,NaN,7.130724685,NaN,9.502456073,-0.656418924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/31/1985,10/25/1985,3.226367603,NaN,NaN,NaN,6.674908275,NaN,8.400529742,0.953684143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/31/1985,11/1/1985,1.031956588,NaN,NaN,NaN,7.25527745,NaN,3.69125046,-2.100242613,1.05229489,NaN,NaN,0.098824003,0.186741417,NaN,NaN,NaN,4.487232856,20.67579649,NaN,NaN,1.183445765,-1.869213301,NaN,NaN,0.904983552,NaN,0,-2.469261259,0.623054975,NaN,NaN,NaN,NaN,2.4,NaN,NaN,NaN,NaN,1.809477032,NaN,1.372536615,1.925788007,1.271958818
11/30/1985,11/8/1985,1.505918502,NaN,NaN,NaN,5.607353127,NaN,0.768304455,-1.406408801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/30/1985,11/15/1985,5.068589544,NaN,NaN,NaN,3.500978871,NaN,1.703200392,1.626211542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/30/1985,11/22/1985,4.264345506,NaN,NaN,NaN,4.251583877,NaN,-2.498995781,-1.293513841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/30/1985,11/29/1985,5.143321277,NaN,NaN,NaN,2.416844785,NaN,-4.32490246,5.457017215,0.165615458,NaN,NaN,-0.594414272,1.002421611,NaN,NaN,NaN,15.32116364,-47.09481075,NaN,NaN,-6.062462182,-2.871010588,NaN,NaN,-0.904983552,NaN,-4.211148535,2.469261259,0.619197025,NaN,NaN,NaN,NaN,-7.9,NaN,NaN,NaN,NaN,2.558665628,NaN,-0.606818704,-0.0817996,-1.808613461
12/31/1985,12/6/1985,8.309572374,NaN,NaN,NaN,-0.011454277,NaN,-5.715064434,5.545028731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/31/1985,12/13/1985,10.01860422,NaN,NaN,NaN,0.121901007,NaN,-6.481935535,12.21851291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/31/1985,12/20/1985,6.360745086,NaN,NaN,NaN,-0.813973671,NaN,-0.226760911,7.29014406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/31/1985,12/27/1985,9.912728334,NaN,NaN,NaN,-0.659157091,NaN,3.397213296,13.88648851,1.060234248,NaN,NaN,0.49559027,0.662741748,NaN,NaN,NaN,-14.26721719,-7.471733982,NaN,NaN,10.66097351,9.265883048,NaN,NaN,7.020425867,NaN,15.87483891,10.9619725,0.615386557,NaN,NaN,NaN,NaN,2.9,NaN,NaN,NaN,NaN,3.936785174,NaN,2.995577041,-0.445577611,7.369360431
1/31/1986,1/3/1986,7.808976642,NaN,NaN,NaN,-3.624360576,NaN,5.758131615,10.70425937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/31/1986,1/10/1986,2.072192909,NaN,NaN,NaN,-2.582553675,NaN,0.734168575,6.587960789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/31/1986,1/17/1986,-0.335575179,NaN,NaN,NaN,-6.516422339,NaN,-2.813679191,3.781477435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/31/1986,1/24/1986,-3.833499454,NaN,NaN,NaN,-8.326487975,NaN,-11.62446135,1.608398515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/31/1986,1/31/1986,-1.82221911,NaN,NaN,-0.011218938,-8.745692278,NaN,-9.535199544,4.230554428,-0.516562964,NaN,NaN,0.177812948,-1.032838396,NaN,NaN,NaN,-3.75578007,-1.01E+02,NaN,NaN,20.27115125,8.479653666,NaN,NaN,1.680711832,NaN,16.06823817,-1.652930195,1.219527309,NaN,NaN,NaN,NaN,9.1,NaN,NaN,NaN,NaN,-0.305178333,NaN,0.981551534,-3.054678435,5.00429233
2/28/1986,2/7/1986,2.239312141,NaN,NaN,-0.280967911,-7.451286566,NaN,-5.964715628,10.94030348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/28/1986,2/14/1986,4.748319585,NaN,NaN,-0.405041058,-7.945697761,NaN,-1.455241925,8.122572366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/28/1986,2/21/1986,11.53166334,NaN,NaN,-0.405041058,-6.50192872,NaN,3.14750544,18.55090676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/28/1986,2/28/1986,11.30857618,NaN,NaN,-0.602285062,-4.237810055,NaN,3.712834479,16.91929415,0.217544623,NaN,NaN,-0.673403218,-5.369650764,NaN,NaN,NaN,-7.505438114,75.40849777,NaN,NaN,-5.6618894,19.84509387,NaN,NaN,0.829880281,NaN,-5.623971832,15.41506798,0.604231446,NaN,NaN,NaN,NaN,-3,NaN,NaN,NaN,NaN,0.905586399,NaN,0.816842005,0.210248595,0.864298814
3/31/1986,3/7/1986,14.53547135,NaN,NaN,-0.608534577,-2.977652623,NaN,14.74445007,14.85922069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/31/1986,3/14/1986,9.798997987,NaN,NaN,-0.366730135,0.517082619,NaN,17.84985334,18.98489248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/31/1986,3/21/1986,9.982209973,NaN,NaN,-0.282246871,5.266970398,NaN,11.4105796,20.2939958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
