datem,datew,KORCOMP,KOBDY10,KOCBNG3,USSKORW,A001,KOUN%TOTQ,KOEMPTOTO,KOPOPACTE,KOHWRWEMP,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOWRCCNSE,KOCONPRCF,KOPROPRCF,KOCPEXFEF,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOSIAI..E,KOIPALL.G,KOMPRI30G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOBSIHAPR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIEMAR,KOBSIBCEQ,KOCNFCONR,KOCSECEMR,KOCSEMEMR,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D
4/30/1985,4/5/1985,3.044341317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/12/1985,2.009093071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/19/1985,0.949650261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/30/1985,4/26/1985,0.204842602,NaN,NaN,NaN,NaN,NaN,-0.038673396,NaN,-0.333087613,0.805547894,NaN,9.857106831,0.726615368,0.713539229,NaN,NaN,0.102371618,0.497167177,NaN,NaN,37.37720293,NaN,3.738753207,0.851068967,NaN,NaN,NaN,0.651468102,1.333353087,NaN,NaN,NaN,NaN,NaN,2.4,-5,-10,0,-4,NaN,NaN,NaN,0.976350808,3.583941519,0.052137188,9.182516329
5/31/1985,5/3/1985,-2.3131554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/10/1985,-3.146954396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/17/1985,-2.772995394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/24/1985,-1.400686849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/31/1985,5/31/1985,-0.084571604,NaN,NaN,NaN,NaN,NaN,0.718982033,NaN,0.061564552,4.155170835,NaN,9.876495406,-0.17108644,0.417362876,NaN,NaN,0.713681874,-0.099235892,NaN,NaN,-37.22519947,NaN,-0.92166551,2.510592113,NaN,NaN,NaN,0.647251451,0.660068403,NaN,NaN,NaN,NaN,NaN,-5.6,0,-2,0,4.5,NaN,NaN,NaN,0.447378168,-2.452034014,1.51560018,-4.372549021
6/30/1985,6/7/1985,0.635462352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/30/1985,6/14/1985,5.448137547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
