id,series_name,country,frequency,transformation,category,units,data_code,item_id,api_source,Block_Global,Block_Consumption,Block_Invest,Block_Extern,api_url_sample
0,Real GDP (Quarterly),Korea,q,pca,GDP,Billion Won,200Y106,1400,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/200Y106/Q/2024Q2/2024Q4/1400/?/?/?
1,Nominal GDP (Quarterly),Korea,q,pca,GDP,Billion Won,200Y105,1400,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/200Y105/Q/2024Q2/2024Q4/1400/?/?/?
2,Total Capital Formation (Quarterly),Korea,q,pca,GDP,Billion Won,200Y109,10201,BOK,1,0,1,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/200Y109/Q/2024Q2/2024Q4/10201/?/?/?
3,Gross Fixed Capital Formation (Quarterly),Korea,q,pca,Investment,Billion Won,200Y129,10101,BOK,1,0,1,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/200Y129/Q/2024Q2/2024Q4/10101/?/?/?
4,M1 Money Supply (Monthly),Korea,m,pch,Financial,Billion Won,101Y019,BBLA00,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/101Y019/M/202410/202412/BBLA00/?/?/?
5,M2 Money Supply (Monthly),Korea,m,pch,Financial,Billion Won,101Y004,BBHA00,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/101Y004/M/202410/202412/BBHA00/?/?/?
6,Employment Rate (Monthly),Korea,m,lin,Labor,Percent,101_DT_1DA7002S,T90,KOSIS,1,0,0,0,https://kosis.kr/openapi/statisticsData.do?method=getList&apiKey=YOUR_KOSIS_API_KEY_HERE&format=json&jsonVD=Y&userStatsId=DT_1DA7002S&objL1=15-64&itmId=T90&prdSe=M&startPrdDe=202410&endPrdDe=202412
7,Unemployment Rate (Monthly),Korea,m,lin,Labor,Percent,101_DT_1DA7002S,T40,KOSIS,1,0,0,0,https://kosis.kr/openapi/statisticsData.do?method=getList&apiKey=YOUR_KOSIS_API_KEY_HERE&format=json&jsonVD=Y&userStatsId=DT_1DA7002S&objL1=ALL&itmId=T40&prdSe=M&startPrdDe=202410&endPrdDe=202412
8,Industrial Production Index (Monthly),Korea,m,pch,Investment,Index,901Y033,A00,BOK,1,0,1,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/901Y033/M/202410/202412/A00/?/?/?
9,Total Bank Loans (Monthly),Korea,m,pch,Financial,Billion Won,104Y016,BDCA1,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/104Y016/M/202410/202412/BDCA1/?/?/?
10,Balance of Payments - Goods (Monthly),Korea,m,chg,External,Million Dollars,301Y013,100000,BOK,1,0,0,1,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/301Y013/M/202410/202412/100000/?/?/?
11,Producer Price Index (Monthly),Korea,m,pch,Investment,Index,404Y014,*AA,BOK,1,0,1,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/404Y014/M/202410/202412/*AA/?/?/?
12,Total Exports (Monthly),Korea,m,pch,External,Thousand Dollars,901Y011,FIEE,BOK,1,0,0,1,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/901Y011/M/202410/202412/FIEE/?/?/?
13,Total Imports (Monthly),Korea,m,pch,External,Thousand Dollars,901Y012,FIEF,BOK,1,0,0,1,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/901Y012/M/202410/202412/FIEF/?/?/?
14,Domestic Construction Orders (Monthly),Korea,m,pch,Investment,Million Won,901Y020,I42A,BOK,1,0,1,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/901Y020/M/202410/202412/I42A/?/?/?
15,KRW/USD Exchange Rate (Daily),Korea,d,pch,External,Won per Dollar,731Y001,0000001,BOK,1,0,0,1,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/731Y001/D/20241129/20241201/0000001/?/?/?
16,KOSPI Index (Daily),Korea,d,pch,Financial,Index,802Y001,0001000,BOK,1,0,0,0,https://ecos.bok.or.kr/api/StatisticSearch/YOUR_BOK_API_KEY_HERE/json/kr/1/10/802Y001/D/20241129/20241201/0001000/?/?/?
